Organization ID,Location Name,locationAddress,Location Street 2,locationCity,Location State,locationZipCode
37,Alexander Orr Water Treatment Plant,6800 SW 87th Ave,,Stryi,LV,01073
1,Bay Harbor Islands' 95th St Park,1185 95th St.,,Bay Harbor Islands,LV,01054
2,Boca Simon,6000 Glades Rd.,,Boca Raton,LV,33431
3,Cagni Park,13489 NE 8th Ave,,North Stryi,LV,01061
4,Consulate General of Colombia,280 Aragon Ave,,Coral Gables,LV,01034
5,Crandon Park,6747 Crandon Boulevard,,Key Biscayne,LV,01049
6,D.D. Simpson Center,13850 NW 26th Ave,,Opa Locka,LV,33054
7,De Hostos Senior Center,2902 NW 2nd Ave,,Stryi,LV,01027
8,"Dolphin Mall - Lot 3, Area Eu00a0(Entry 3)",11401 NorthWest 12th Street,,Stryi ,LV,01072
9,Haulover Park,13731 Collins Ave ,,North Stryi Beach,LV,01054
10,Home Depot (Deerwood),11905 SW 152nd Street,,Stryi,LV,01077
11,Kendal Lakes Branch Library,15205 SW 88th Street,,Stryi,LV,01096
12,Maintenance and Service Center,12525 NW 28th Ave,,Stryi,LV,01067
13,Stryi Bethany SDA Church,2500 NW 50th St,,Stryi,LV,01042
14,Stryi Lakes Branch Library,6699 Windmill Gate Rd.,,Stryi,LV,33014
15,Stryi-Dade County Schools Southwest Transportation,15401 SW 117 Ave.,,Stryi,LV,01077
16,Morgan Levy Park,5300 NW 102nd Ave,,Doral,LV,01078
17,New Birth Baptist Church,2300 NW 135th Street,,Stryi,LV,01067
18,Port of Stryi Terminal E,1265 N. Cruise Blvd. ,,Stryi,LV,01032
19,Regency Square Mall - Old Sears Site (West end of mall),9501 Arlington Expressway,,Jacksonville,LV,32225
20,RL Taylor Community Center,1845 34th Street,,Sarasota,LV,34234
21,Sarasota Drive-Thru,5400 Old Bradenton Rd,,Sarasota,LV,34234
22,Stephen P. Clark Government Center,111 NW 1st Street,,Stryi,LV,01028
23,Stores and Mail Distribution,7001 SW 4th St.,,Stryi,LV,01044
24,"Terminal 3 Baggage Claim, Lower Level (Pre-Security)",200 Terminal Dr.,,Fort Lauderdale,LV,30105
25,Trinity Church,17801 NW 2nd Ave,,Stryi Gardens,LV,01069
26,Tropicana Field,1760 18th St. S,Lot 2,St Petersburg,LV,33705
27,WCBTS New Smyrna Beach,1000 Live Oak St,,New Smyrna Beach,LV,32168
28,West Perrine,18255 Homestead Ave,,Stryi,LV,01057
29,South Dade Government Center,10710 SW 211 Street,Suite 207 - Public Information Counter,Cutler Bay,LV,01089
30,"banana CARE Lab Services, LLC",1151 East 3900 South,Suite 120,Millcreek,UT,84124
31,Sunny Isles Beach Government Center,18070 Collins Ave,,Sunny Isles Beach,LV,01060
32,Stryi Beach Convention Center ,701 Convention Center Drive,,Stryi Beach,LV,01089
33,Homestead Air Reserve Park,12200 SW 268 St,,Homestead,LV,33032
34,Harris Field,675 N. Homestead Blvd,,Homestead,LV,33030
35,Joseph Caleb Center,5400 NW 22 Ave,,Stryi,LV,01042
36,Salvation Army,911 West LOagler St,,Stryi,LV,01030
